1218142,拆弹专家2,上映44天,820.60,21.4%,18.9%,16.6%,11.40亿,3831.0万,2021-02-05 22:20:38
1283276,大红包,上映15天,787.25,20.5%,21.8%,19.7%,1.73亿,3831.0万,2021-02-05 22:20:38
1334342,送你一朵小红花,上映37天,779.05,20.3%,19.6%,17.6%,12.62亿,3831.0万,2021-02-05 22:20:38
1244901,许愿神龙,上映22天,376.87,9.8%,8.4%,9.7%,1.29亿,3831.0万,2021-02-05 22:20:38
1300668,温暖的抱抱,上映37天,360.75,9.4%,8.3%,9.4%,7.67亿,3831.0万,2021-02-05 22:20:38
553231,心灵奇旅,上映43天,260.15,6.7%,6.2%,6.7%,3.18亿,3831.0万,2021-02-05 22:20:38
1322799,缉魂,上映22天,69.12,1.8%,2.2%,2.7%,9683.3万,3831.0万,2021-02-05 22:20:38
461076,紧急救援,上映50天,58.02,1.5%,1.1%,1.4%,4.45亿,3831.0万,2021-02-05 22:20:38
1331256,吉祥如意,上映8天,54.43,1.4%,3.4%,4.0%,1001.0万,3831.0万,2021-02-05 22:20:38
1332048,没有过不去的年,上映22天,49.17,1.2%,0.2%,0.2%,4067.7万,3831.0万,2021-02-05 22:20:38
1222053,温泉屋的小老板娘,上映8天,29.86,0.7%,2.3%,3.0%,614.3万,3831.0万,2021-02-05 22:20:38
1332663,海底小纵队：火焰之环,上映29天,28.60,0.7%,1.1%,1.3%,4620.2万,3831.0万,2021-02-05 22:20:38
247294,疯狂原始人2,上映71天,21.32,0.5%,0.5%,0.6%,3.18亿,3831.0万,2021-02-05 22:20:38
1358557,武汉日夜,上映15天,16.43,0.4%,1.1%,1.4%,2145.6万,3831.0万,2021-02-05 22:20:38
1205568,蜂鸟计划,上映8天,10.45,0.2%,1.0%,1.1%,247.9万,3831.0万,2021-02-05 22:20:38
1377162,爱遍全球,上映15天,10.18,0.2%,<0.1%,<0.1%,703.2万,3831.0万,2021-02-05 22:20:38
25348,崖上的波妞,上映37天,8.34,0.2%,0.3%,0.4%,2495.2万,3831.0万,2021-02-05 22:20:38
1299454,点点星光,上映22天,7.55,0.1%,0.2%,0.2%,477.7万,3831.0万,2021-02-05 22:20:38
1230685,猎杀T34,上映57天,6.02,0.1%,0.1%,0.1%,2034.7万,3831.0万,2021-02-05 22:20:38
1309852,山路十八湾,上映19天,3.63,<0.1%,<0.1%,<0.1%,29.7万,3831.0万,2021-02-05 22:20:38
