1218142,拆弹专家2,上映44天,907.09,21.4%,18.9%,16.6%,12.53亿,4223.8万,2021-02-05 22:20:38
1283276,大红包,上映15天,876.47,20.7%,21.8%,19.7%,1.92亿,4223.8万,2021-02-05 22:20:38
1334342,送你一朵小红花,上映37天,852.76,20.1%,19.6%,17.6%,13.82亿,4223.8万,2021-02-05 22:20:38
1244901,许愿神龙,上映22天,412.10,9.7%,8.4%,9.7%,1.41亿,4223.8万,2021-02-05 22:20:38
1300668,温暖的抱抱,上映37天,397.17,9.4%,8.3%,9.4%,8.40亿,4223.8万,2021-02-05 22:20:38
553231,心灵奇旅,上映43天,289.58,6.8%,6.2%,6.7%,3.53亿,4223.8万,2021-02-05 22:20:38
1322799,缉魂,上映22天,76.84,1.8%,2.2%,2.7%,1.06亿,4223.8万,2021-02-05 22:20:38
461076,紧急救援,上映50天,65.69,1.5%,1.1%,1.4%,4.81亿,4223.8万,2021-02-05 22:20:38
1331256,吉祥如意,上映8天,59.50,1.4%,3.4%,4.0%,1083.9万,4223.8万,2021-02-05 22:20:38
1332048,没有过不去的年,上映22天,49.22,1.1%,0.2%,0.2%,4086.6万,4223.8万,2021-02-05 22:20:38
1222053,温泉屋的小老板娘,上映8天,33.27,0.7%,2.3%,3.0%,680.9万,4223.8万,2021-02-05 22:20:38
1332663,海底小纵队：火焰之环,上映29天,32.07,0.7%,1.1%,1.3%,5101.7万,4223.8万,2021-02-05 22:20:38
247294,疯狂原始人2,上映71天,23.51,0.5%,0.5%,0.6%,3.50亿,4223.8万,2021-02-05 22:20:38
1358557,武汉日夜,上映15天,17.88,0.4%,1.1%,1.4%,2325.0万,4223.8万,2021-02-05 22:20:38
1205568,蜂鸟计划,上映8天,11.53,0.2%,1.0%,1.1%,273.5万,4223.8万,2021-02-05 22:20:38
1377162,爱遍全球,上映15天,10.18,0.2%,<0.1%,<0.1%,703.3万,4223.8万,2021-02-05 22:20:38
25348,崖上的波妞,上映37天,9.30,0.2%,0.3%,0.4%,2765.9万,4223.8万,2021-02-05 22:20:38
1299454,点点星光,上映22天,8.21,0.1%,0.2%,0.2%,507.8万,4223.8万,2021-02-05 22:20:38
1230685,猎杀T34,上映57天,6.70,0.1%,0.1%,0.1%,2243.4万,4223.8万,2021-02-05 22:20:38
1309852,山路十八湾,上映19天,4.20,<0.1%,<0.1%,<0.1%,30.5万,4223.8万,2021-02-05 22:20:38
1260459,赛尔号大电影7：疯狂机器城,,4.05,<0.1%,0.4%,0.5%,3116.4万,4223.8万,2021-02-05 22:20:38
1263429,移情高手,上映8天,3.80,<0.1%,0.6%,0.8%,133.8万,4223.8万,2021-02-05 22:20:38
